LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
LM1512,M42 between M42 J7a and M42 J8 (LM1512),M42 J7a,M42 J8,419331,288553,418754,290006
LM1518,M42 between M42 J9S and M42 J9 (LM1518),M42 J9S,M42 J9,418431,292340,418606,293355
LM152,M1 between M1 J10A and M1 J10 (LM152),M1 J10A,M1 J10,509237,219039,508683,218365
LM153,M1 between M1 J10 and M1 J11 (LM153),M1 J10,M1 J11,508683,218365,505388,222740
LM154,M1 between M1 J11 and M1 J10 (LM154),M1 J11,M1 J10,505399,222794,508655,218483
LM155,M1 between M1 J11 and M1 J12 (LM155),M1 J11,M1 J12,505388,222740,502366,229498
LM156,M1 between M1 J12 and M1 J11 (LM156),M1 J12,M1 J11,501954,229968,505399,222794
LM157,M1 between M1 J12 and M1 J13 (LM157),M1 J12,M1 J13,502366,229498,495914,237365
LM158,M1 between M1 J13 and M1 J12 (LM158),M1 J13,M1 J12,495919,237385,501954,229968
LM159,M1 between M1 J13 and M1 J14 (LM159),M1 J13,M1 J14,495914,237365,489246,240811
LM15A,A1(M) between A1(M) J35 and A1(M) J34 (LM15A),A1(M) J35,A1(M) J34,456627,398413,462368,388324
LM16,A1(M) between A1(M) J35 and A1(M) J36 (LM16),A1(M) J35,A1(M) J36,456622,398392,454841,400723
LM160,M1 between M1 J14 and M1 J13 (LM160),M1 J14,M1 J13,489176,240880,495919,237385
LM161,M1 between M1 J14 and M1 J15 (LM161),M1 J14,M1 J15,489246,240811,475610,254738
LM162,M1 between M1 J15 and M1 J14 (LM162),M1 J15,M1 J14,475607,254767,489176,240880
LM163,M1 between M1 J15 and M1 J15A (LM163),M1 J15,M1 J15A,475610,254738,472739,257139
LM164,M1 between M1 J15A and M1 J15 (LM164),M1 J15A,M1 J15,472743,257157,475607,254767
LM165,M1 between M1 J15A and M1 J16 (LM165),M1 J15A,M1 J16,472739,257139,467358,259547
LM166,M1 between M1 J16 and M1 J15A (LM166),M1 J16,M1 J15A,467251,259605,472743,257157
LM167,M1 between M1 J16 and M1 J17 (LM167),M1 J16,M1 J17,467358,259547,458619,270013
LM168,M1 between M1 J17 and M1 J16 (LM168),M1 J17,M1 J16,458810,269750,467251,259605
LM169,M1 between M1 J17 and M1 J18 (LM169),M1 J17,M1 J18,458619,270013,457682,272813
LM17,A1(M) between A1(M) J36 and A1(M) J35 (LM17),A1(M) J36,A1(M) J35,454831,400786,456627,398413
LM170,M1 between M1 J18 and M1 J17 (LM170),M1 J18,M1 J17,457690,272913,458810,269750
LM171,M1 between M1 J18 and M1 J19 (LM171),M1 J18,M1 J19,457682,272813,456225,278313
LM172,M1 between M1 J19 and M1 J18 (LM172),M1 J19,M1 J18,456357,277852,457690,272913
LM173,M1 between M1 J19 and M1 J20 (LM173),M1 J19,M1 J20,456225,278313,455038,283832
LM174,M1 between M1 J20 and M1 J19 (LM174),M1 J20,M1 J19,455062,283925,456357,277852
LM175,M1 between M1 J21 and M1 J21A (LM175),M1 J21,M1 J21A,454619,300538,453062,304417
LM176,M1 between M1 J21A and M1 J21 (LM176),M1 J21A,M1 J21,452903,304725,454624,300660
LM177,M1 between M1 J20 and M1 J21 (LM177),M1 J20,M1 J21,455038,283832,454619,300538
LM178,M1 between M1 J21 and M1 J20 (LM178),M1 J21,M1 J20,454624,300660,455062,283925
LM179,M1 between M1 J21A and M1 J22 (LM179),M1 J21A,M1 J22,453062,304417,447920,311084
LM18,A1(M) between A1(M) J36 and A1(M) J37 (LM18),A1(M) J36,A1(M) J37,454841,400723,452670,405324
LM180,M1 between M1 J22 and M1 J21A (LM180),M1 J22,M1 J21A,447925,311211,452903,304725
LM181,M1 between M1 J22 and M1 J23 (LM181),M1 J22,M1 J23,447920,311084,449086,318266
LM182,M1 between M1 J23 and M1 J22 (LM182),M1 J23,M1 J22,449100,318370,447925,311211
LM183,M1 between M1 J23 and M1 J23A (LM183),M1 J23,M1 J23A,449086,318266,446890,324824
LM184,M1 between M1 J23A and M1 J23 (LM184),M1 J23A,M1 J23,447057,325330,449100,318370
LM185,M1 between M1 J24A and M1 J25 (LM185),M1 J24A,M1 J25,447115,329277,447185,335601
LM186,M1 between M1 J25 and M1 J24A (LM186),M1 J25,M1 J24A,447203,335624,447139,329262
LM187,M1 between M1 J23A and M1 J24 (LM187),M1 J23A,M1 J24,446890,324824,447532,327494
LM188,M1 between M1 J24 and M1 J23A (LM188),M1 J24,M1 J23A,447539,327732,447057,325330
LM189,M1 between M1 J24 and M1 J24A (LM189),M1 J24,M1 J24A,447532,327494,447115,329277
LM19,A1(M) between A1(M) J37 and A1(M) J36 (LM19),A1(M) J37,A1(M) J36,452650,405391,454831,400786
LM190,M1 between M1 J24A and M1 J24 (LM190),M1 J24A,M1 J24,447139,329262,447539,327732
LM191,M1 between M1 J25 and M1 J26 (LM191),M1 J25,M1 J26,447185,335601,451454,343851
LM192,M1 between M1 J26 and M1 J25 (LM192),M1 J26,M1 J25,451516,343933,447203,335624
LM193,M1 between M1 J26 and M1 J27 (LM193),M1 J26,M1 J27,451454,343851,449103,351989
LM194,M1 between M1 J27 and M1 J26 (LM194),M1 J27,M1 J26,449058,352095,451516,343933
LM195,M1 between M1 J27 and M1 J28 (LM195),M1 J27,M1 J28,449103,351989,445408,356147
LM196,M1 between M1 J28 and M1 J27 (LM196),M1 J28,M1 J27,445324,356297,449058,352095
LM197,M1 between M1 J28 and M1 J29 (LM197),M1 J28,M1 J29,445408,356147,445308,366864
LM198,M1 between M1 J29 and M1 J28 (LM198),M1 J29,M1 J28,445360,367031,445324,356297
LM199A,M1 between M1 J29A and M1 J30 (LM199A),M1 J29A,M1 J30,444716,372336,447009,376798
LM2,A1(M) between A1(M) J15 and A1(M) J14 (LM2),A1(M) J15,A1(M) J14,517697,282755,518803,277260
LM20,A1(M) between A1(M) J37 and A1(M) J38 (LM20),A1(M) J37,A1(M) J38,452670,405324,452221,409337
LM200A,M1 between M1 J30 and M1 J29A (LM200A),M1 J30,M1 J29A,447047,376887,444737,372337
LM201,M1 between M1 J1 and M1 J2 (LM201),M1 J1,M1 J2,522939,187441,522124,190692
LM202,M1 between M1 J2 and M1 J1 (LM202),M1 J2,M1 J1,522150,190675,522786,187514
LM203,M1 between M1 J2 and M1 J4 (LM203),M1 J2,M1 J4,522124,190692,517325,194422
LM204,M1 between M1 J4 and M1 J2 (LM204),M1 J4,M1 J2,517331,194436,522150,190675
LM205,M1 between M1 J30 and M1 J31 (LM205),M1 J30,M1 J31,447009,376798,447769,385190
LM206,M1 between M1 J31 and M1 J30 (LM206),M1 J31,M1 J30,447799,385343,447047,376887
LM207,M1 between M1 J31 and M1 J32 (LM207),M1 J31,M1 J32,447769,385190,446717,389207
LM208,M1 between M1 J32 and M1 J31 (LM208),M1 J32,M1 J31,447215,389111,447799,385343
LM209,M1 between M1 J32 and M1 J33 (LM209),M1 J32,M1 J33,446717,389207,443405,389271
LM21,A1(M) between A1(M) J38 and A1(M) J37 (LM21),A1(M) J38,A1(M) J37,452240,409328,452650,405391
LM210,M1 between M1 J33 and M1 J32 (LM210),M1 J33,M1 J32,443269,389262,447215,389111
LM211,M1 between M1 J33 and M1 J34 (LM211),M1 J33,M1 J34,443405,389271,439922,390795
LM212,M1 between M1 J34 and M1 J33 (LM212),M1 J34,M1 J33,439824,390956,443269,389262
LM213,M1 between M1 J34 S and M1 J34 N (LM213),M1 J34 S,M1 J34 N,439922,390795,439288,391799
LM214,M1 between M1 J34 N and M1 J34 S (LM214),M1 J34 N,M1 J34 S,439214,391918,439824,390956
LM215,M1 between M1 J34 and M1 J35 (LM215),M1 J34,M1 J35,439288,391799,436928,395530
LM216,M1 between M1 J35 and M1 J34 (LM216),M1 J35,M1 J34,436930,395652,439214,391918
LM217,M1 between M1 J35 and M1 J35A (LM217),M1 J35,M1 J35A,436928,395530,436018,397714
LM218,M1 between M1 J35A and M1 J35 (LM218),M1 J35A,M1 J35,435962,397853,436930,395652
LM219,M1 between M1 J35A and M1 J36 (LM219),M1 J35A,M1 J36,436018,397714,434922,400040
LM22,A1(M) between A1(M) J44 and A1(M) J45 (LM22),A1(M) J44,A1(M) J45,443459,435012,443076,440628
LM220,M1 between M1 J36 and M1 J35A (LM220),M1 J36,M1 J35A,434866,400128,435962,397853
LM221,M1 between M1 J36 and M1 J37 (LM221),M1 J36,M1 J37,434922,400040,432204,405842
LM222,M1 between M1 J37 and M1 J36 (LM222),M1 J37,M1 J36,432172,405945,434866,400128
LM223,M1 between M1 J37 and M1 J38 (LM223),M1 J37,M1 J38,432204,405842,429831,411840
LM224,M1 between M1 J38 and M1 J37 (LM224),M1 J38,M1 J37,429804,411975,432172,405945
LM225,M1 between M1 J38 and M1 J39 (LM225),M1 J38,M1 J39,429831,411840,431230,417165
LM226,M1 between M1 J39 and M1 J38 (LM226),M1 J39,M1 J38,431275,417288,429804,411975
LM227,M1 between M1 J39 and M1 J40 (LM227),M1 J39,M1 J40,431230,417165,429482,420820
LM228,M1 between M1 J40 and M1 J39 (LM228),M1 J40,M1 J39,429483,420945,431275,417288
LM229,M1 between M1 J40 and M1 J41 (LM229),M1 J40,M1 J41,429482,420820,430713,424416
LM22A,A1(M) between A1(M) J43 and A1(M) J44 (LM22A),A1(M) J43,A1(M) J44,443626,436537,443085,440082
LM23,A1(M) between A1(M) J45 and A1(M) J44 (LM23),A1(M) J45,A1(M) J44,443101,440626,443620,435517
LM230,M1 between M1 J41 and M1 J40 (LM230),M1 J41,M1 J40,430819,424476,429483,420945
LM231,M1 between M1 J41 and M1 J42 (LM231),M1 J41,M1 J42,430713,424416,432287,426151
LM232,M1 between M1 J42 and M1 J41 (LM232),M1 J42,M1 J41,432310,426162,430819,424476
LM233,M1 between M1 J42 and M1 J43 (LM233),M1 J42,M1 J43,432287,426151,431912,428170
LM234,M1 between M1 J43 and M1 J42 (LM234),M1 J43,M1 J42,432105,428714,432310,426162
LM235,M1 between M1 J43 and M1 J44 (LM235),M1 J43,M1 J44,431912,428170,433254,429637
LM236,M1 between M1 J44 and M1 J43 (LM236),M1 J44,M1 J43,434037,429880,432105,428714
LM237,M1 between M1 J44 and M1 J45 (LM237),M1 J44,M1 J45,433254,429637,434559,430862
LM238,M1 between M1 J45 and M1 J44 (LM238),M1 J45,M1 J44,434586,430852,434037,429880
LM239,M1 between M1 J45 and M1 J46 (LM239),M1 J45,M1 J46,434559,430862,437849,432946
LM23A,A1(M) between A1(M) J44 and A1(M) J43 (LM23A),A1(M) J44,A1(M) J43,443090,440215,443620,435517
LM24,A1(M) between A1(M) J47 and A1(M) J48 (LM24),A1(M) J47,A1(M) J48,440885,457178,439507,465258
LM240,M1 between M1 J46 and M1 J45 (LM240),M1 J46,M1 J45,437908,433062,434586,430852
LM241,M1 between M1 J46 and M1 J47 (LM241),M1 J46,M1 J47,437849,432946,442083,434574
LM242,M1 between M1 J47 and M1 J46 (LM242),M1 J47,M1 J46,442212,434532,437908,433062
LM243,M1 between M1 J47 and M1 J48 (LM243),M1 J47,M1 J48,442083,434574,443626,436538
LM244,M1 between M1 J48 and M1 J47 (LM244),M1 J48,M1 J47,443620,435517,442212,434532
LM245,M1 between M1 J4 and M1 J5 (LM245),M1 J4,M1 J5,517325,194422,512933,198197
LM246,M1 between M1 J5 and M1 J4 (LM246),M1 J5,M1 J4,512848,198292,517331,194436
LM247,M1 between M1 J5 and M1 J6 (LM247),M1 J5,M1 J6,512933,198197,511887,202073
LM248,M1 between M1 J6 and M1 J5 (LM248),M1 J6,M1 J5,511956,201960,512848,198292
LM249,M1 between M1 J6 and M1 J6A (LM249),M1 J6,M1 J6A,511887,202073,511644,203176
LM25,A1(M) between A1(M) J48 and A1(M) J47 (LM25),A1(M) J48,A1(M) J47,439520,465275,440865,457288
LM250,M1 between M1 J6A and M1 J6 (LM250),M1 J6A,M1 J6,511664,203198,511956,201960
LM251,M1 between M1 J6A and M1 J7 (LM251),M1 J6A,M1 J7,511644,203176,509933,206767
LM252,M1 between M1 J7 and M1 J6A (LM252),M1 J7,M1 J6A,510211,206527,511664,203198
LM253,M1 between M1 J7 and M1 J8 (LM253),M1 J7,M1 J8,509933,206767,509364,207794
LM254,M1 between M1 J8 and M1 J7 (LM254),M1 J8,M1 J7,509432,207589,510211,206527
LM255,M1 between M1 J9 and M1 J10 (LM255),M1 J9,M1 J10,509224,214377,508683,218365
LM256,M1 between M1 J10 and M1 J9 (LM256),M1 J10,M1 J9,508655,218483,509154,215074
LM257,M1 between M1 J8 and M1 J9 (LM257),M1 J8,M1 J9,509364,207794,509224,214377
LM258,M1 between M1 J9 and M1 J8 (LM258),M1 J9,M1 J8,509154,215074,509432,207589
LM259,M20 between M20 J11 and M20 J10 (LM259),M20 J11,M20 J10,613739,137315,603783,141535
LM26,A1(M) between A1 and A1(M) J47 (LM26),A1,A1(M) J47,441793,453625,440885,457178
LM260,M20 between M20 J10 and M20 J11 (LM260),M20 J10,M20 J11,603685,141658,613516,137363
LM261,M20 between M20 J12 and M20 J11 (LM261),M20 J12,M20 J11,619420,137182,613739,137315
LM262,M20 between M20 J11 and M20 J12 (LM262),M20 J11,M20 J12,613516,137363,619288,137132
LM263,M20 between M20 J13 and M20 J12 (LM263),M20 J13,M20 J12,621500,137749,619420,137182
LM264,M20 between M20 J12 and M20 J13 (LM264),M20 J12,M20 J13,619288,137132,621285,137686
LM265,M20 between M20 J2 and M20 J1 (LM265),M20 J2,M20 J1,559496,160151,552162,167883
LM266,M20 between M20 J1 and M20 J2 (LM266),M20 J1,M20 J2,552351,167889,559459,160186
LM267,M20 between M20 J2 Westbound and M20 J2 Westbound (LM267),M20 J2 Westbound,M20 J2 Westbound,561432,159409,559496,160151
LM268,M20 between M20 J2 Eastbound and M20 J2 Eastbound (LM268),M20 J2 Eastbound,M20 J2 Eastbound,559459,160186,561512,159400
LM269,M20 between M20 J3 and M20 J2 (LM269),M20 J3,M20 J2,564617,159130,561432,159409
LM27,A1(M) between A1(M) J47 and A1 (LM27),A1(M) J47,A1,440865,457288,441812,453625
LM26A,A1(M) between A1(M) J46 and A1(M) J47 (LM26A),A1(M) J46,A1(M) J47,441164,449907,440885,457178
LM270,M20 between M20 J2 and M20 J3 (LM270),M20 J2,M20 J3,561512,159400,564995,159251
LM271,M20 between M20 J4 and M20 J3 (LM271),M20 J4,M20 J3,569197,159424,564617,159130
LM272,M20 between M20 J3 and M20 J4 (LM272),M20 J3,M20 J4,564995,159251,569084,159496
LM273,M20 between M20 J5 and M20 J4 (LM273),M20 J5,M20 J4,573367,158144,569197,159424
LM274,M20 between M20 J4 and M20 J5 (LM274),M20 J4,M20 J5,569084,159496,573253,158198
LM275,M20 between M20 J6 and M20 J5 (LM275),M20 J6,M20 J5,575438,158529,573367,158144
LM276,M20 between M20 J5 and M20 J6 (LM276),M20 J5,M20 J6,573253,158198,575402,158538
LM277,M20 between M20 J7 and M20 J6 (LM277),M20 J7,M20 J6,578111,157404,575438,158529
LM278,M20 between M20 J6 and M20 J7 (LM278),M20 J6,M20 J7,575402,158538,577943,157398
LM279,M20 between M20 J8 and M20 J7 (LM279),M20 J8,M20 J7,582754,154598,578111,157404
LM27A,A1(M) between A1(M) J47 and A1(M) J46 (LM27A),A1(M) J47,A1(M) J46,440865,457288,441216,449978
LM28,A1(M) between A1(M) J48 and A1(M) J49 (LM28),A1(M) J48,A1(M) J49,439507,465258,436775,473068
LM280,M20 between M20 J7 and M20 J8 (LM280),M20 J7,M20 J8,577943,157398,582755,154621
LM281,M20 between M20 J9 and M20 J8 (LM281),M20 J9,M20 J8,600676,144030,582754,154598
LM282,M20 between M20 J8 and M20 J9 (LM282),M20 J8,M20 J9,582755,154621,600581,144122
LM283,M20 between M20 J10 and M20 J9 (LM283),M20 J10,M20 J9,603783,141535,600676,144030
LM284,M20 between M20 J9 and M20 J10 (LM284),M20 J9,M20 J10,600581,144122,603685,141658
LM285,M23 between M23 J11 and M23 J10A (LM285),M23 J11,M23 J10A,526087,133101,530261,135905
LM286,M23 between M23 J10A and M23 J11 (LM286),M23 J10A,M23 J11,530166,135716,526143,133154
LM287,M23 between M23 J10A and M23 J10 (LM287),M23 J10A,M23 J10,530261,135905,530126,138594
LM288,M23 between M23 J10 and M23 J10A (LM288),M23 J10,M23 J10A,530158,138749,530166,135716
LM289,M23 between M23 J8 and M23 J7 (LM289),M23 J8,M23 J7,530711,153302,528672,155054
LM29,A1(M) between A1(M) J49 and A1(M) J48 (LM29),A1(M) J49,A1(M) J48,436789,473085,439520,465275
LM290,M23 between M23 J7 and M23 J8 (LM290),M23 J7,M23 J8,528768,155375,530725,153322
LM291,M23 between M23 J9 and M23 J8 (LM291),M23 J9,M23 J8,530519,141575,530711,153302
LM292,M23 between M23 J8 and M23 J9 (LM292),M23 J8,M23 J9,530725,153322,530561,141670
LM293,M23 between M23 J9 and M23 J9A (LM293),M23 J9,M23 J9A,530519,141575,529206,141613
LM294,M23 between M23 J9A and M23 J9 (LM294),M23 J9A,M23 J9,529181,141676,530561,141670
LM295,M23 between M23 J10 and M23 J9 (LM295),M23 J10,M23 J9,530126,138594,530519,141575
LM296,M23 between M23 J9 and M23 J10 (LM296),M23 J9,M23 J10,530561,141670,530158,138749
LM297,M25 between M25 J9 and M25 J10 (LM297),M25 J9,M25 J10,516647,158340,508076,159253
LM298,M25 between M25 J10 and M25 J9 (LM298),M25 J10,M25 J9,508073,159274,516594,158420
LM299,M25 between M25 J10 and M25 J11 (LM299),M25 J10,M25 J11,508076,159253,503876,164984
LM3,A1(M) between A1 and A1(M) J14 (LM3),A1,A1(M) J14,518911,275088,518646,277834
LM30,A1(M) between A1(M) J3 and A1(M) J4 (LM30),A1(M) J3,A1(M) J4,521229,207369,522670,210405
LM300,M25 between M25 J11 and M25 J10 (LM300),M25 J11,M25 J10,503856,165105,508073,159274
LM301,M25 between M25 J11 and M25 J12 (LM301),M25 J11,M25 J12,503876,164984,501832,167856
LM302,M25 between M25 J12 and M25 J11 (LM302),M25 J12,M25 J11,501843,167876,503856,165105
LM303,M25 between M25 J12 and M25 J13 (LM303),M25 J12,M25 J13,501832,167856,502256,172659
LM304,M25 between M25 J13 and M25 J12 (LM304),M25 J13,M25 J12,502345,172818,501843,167876
LM305,M25 between M25 J13 and M25 J14 (LM305),M25 J13,M25 J14,502256,172659,503652,175314
LM306,M25 between M25 J14 and M25 J13 (LM306),M25 J14,M25 J13,503756,175473,502345,172818
LM307,M25 between M25 J14 and M25 J15 (LM307),M25 J14,M25 J15,503652,175314,504616,178385
LM308,M25 between M25 J15 and M25 J14 (LM308),M25 J15,M25 J14,504637,178401,503756,175473
LM309,M25 between M25 J15 and M25 J16 (LM309),M25 J15,M25 J16,504616,178385,501900,185660
LM31,A1(M) between A1(M) J4 and A1(M) J3 (LM31),A1(M) J4,A1(M) J3,522687,210400,521234,207469
LM310,M25 between M25 J16 and M25 J15 (LM310),M25 J16,M25 J15,501919,185681,504637,178401
LM311,M25 between M25 J16 and M25 J17 (LM311),M25 J16,M25 J17,501900,185660,503119,194176
LM312,M25 between M25 J17 and M25 J16 (LM312),M25 J17,M25 J16,503211,194253,501919,185681
LM313,M25 between M25 J17 and M25 J18 (LM313),M25 J17,M25 J18,503119,194176,504180,196190
LM314,M25 between M25 J18 and M25 J17 (LM314),M25 J18,M25 J17,504085,195965,503211,194253
LM315,M25 between M25 J18 and M25 J19 (LM315),M25 J18,M25 J19,504180,196190,506684,198743
LM316,M25 between M25 J19 and M25 J18 (LM316),M25 J19,M25 J18,506977,198986,504085,195965
LM317,M25 between M25 J19 and A41 (LM317),M25 J19,A41,506684,198743,508557,199494
LM318,M25 between A41 and M25 J19 (LM318),A41,M25 J19,508594,199461,506977,198986
LM319A,M25 between M25 J1B and M25 J2 (LM319A),M25 J1B,M25 J2,555715,173416,555726,172086
LM32,A1(M) between A1(M) J4 and A1(M) J5 (LM32),A1(M) J4,A1(M) J5,522670,210405,522280,212921
LM320A,M25 between M25 J2 and M25 J1B (LM320A),M25 J2,M25 J1B,555706,172062,555701,173326
LM321,M25 between M25 J19 and M25 J20 (LM321),M25 J19,M25 J20,506684,198743,507626,201292
LM322,M25 between M25 J20 and M25 J19 (LM322),M25 J20,M25 J19,507677,201355,506977,198986
LM323,M25 between M25 J20 and M25 J21 (LM323),M25 J20,M25 J21,507626,201292,511641,203194
LM324,M25 between M25 J21 and M25 J20 (LM324),M25 J21,M25 J20,511669,203181,507677,201355
LM325,M25 between M25 J21 and M25 J21A (LM325),M25 J21,M25 J21A,511641,203194,512612,203082
LM326,M25 between M25 J21A and M25 J21 (LM326),M25 J21A,M25 J21,512666,203038,511669,203181
LM327,M25 between M25 J21A and M25 J22 (LM327),M25 J21A,M25 J22,512612,203082,518721,203244
LM328,M25 between M25 J22 and M25 J21A (LM328),M25 J22,M25 J21A,518660,203185,512666,203038
LM329,M25 between M25 J22 and M25 J23 (LM329),M25 J22,M25 J23,518721,203244,522512,200130
LM33,A1(M) between A1(M) J5 and A1(M) J4 (LM33),A1(M) J5,A1(M) J4,522315,212864,522687,210400
LM330,M25 between M25 J23 and M25 J22 (LM330),M25 J23,M25 J22,522504,200111,518660,203185
LM331,M25 between M25 J23 and M25 J24 (LM331),M25 J23,M25 J24,522512,200130,526480,200219
LM332,M25 between M25 J24 and M25 J23 (LM332),M25 J24,M25 J23,526578,200259,522504,200111
LM333,M25 between M25 J24 and M25 J25 (LM333),M25 J24,M25 J25,526480,200219,534837,200076
LM334,M25 between M25 J25 and M25 J24 (LM334),M25 J25,M25 J24,535037,200054,526578,200259
LM335,M25 between M25 J25 and M25 J26 (LM335),M25 J25,M25 J26,534837,200076,540629,199725
LM336,M25 between M25 J26 and M25 J25 (LM336),M25 J26,M25 J25,540420,199647,535037,200054
LM337,M25 between M25 J26 and M25 J27 (LM337),M25 J26,M25 J27,540629,199725,547010,199996
LM338,M25 between M25 J27 and M25 J26 (LM338),M25 J27,M25 J26,547017,199979,540420,199647
LM339,M25 between M25 J27 and M25 J28 (LM339),M25 J27,M25 J28,547010,199996,556765,192407
LM34,A1(M) between A1(M) J56 and A1(M) J57 (LM34),A1(M) J56,A1(M) J57,421575,507619,424052,511202
LM340,M25 between M25 J28 and M25 J27 (LM340),M25 J28,M25 J27,556761,192384,547017,199979
LM341,M25 between M25 J28 and M25 J29 (LM341),M25 J28,M25 J29,556765,192407,558239,188994
LM342,M25 between M25 J29 and M25 J28 (LM342),M25 J29,M25 J28,558213,188992,556761,192384
