LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1708,A27 between A2030 and A3(M) J5 (AL1708),A2030,A3(M) J5,467393,104334,469272,105464
AL1709,A27 between M27 J12 and A2030 (AL1709),M27 J12,A2030,465949,104538,467393,104334
AL1710,A27 between A2030 and M27 J12 (AL1710),A2030,M27 J12,467535,104349,465990,104517
AL1711,A27 between A3(M) J5 and A3023 (AL1711),A3(M) J5,A3023,469272,105464,471594,105890
AL1712,A27 between A3023 and A3(M) J5 (AL1712),A3023,A3(M) J5,471660,105861,469576,105585
AL1713,A27 between A3023 and A259 (AL1713),A3023,A259,471594,105890,473222,106179
AL1714,A27 between A259 and A3023 (AL1714),A259,A3023,473242,106171,471660,105861
AL1715,A27 between A259 and A259 (AL1715),A259,A259,484707,104368,473242,106171
AL1716,A27 between A259 and A259 (AL1716),A259,A259,473222,106179,484654,104436
AL1718,A27 between A285 and A29 (AL1718),A285,A29,489569,106732,495044,107117
AL1719,A27 between A29 and A285 (AL1719),A29,A285,495077,107114,489575,106721
AL1720,A27 between A29 and A29 (AL1720),A29,A29,495684,107213,495077,107114
AL1721,A27 between A29 and A29 (AL1721),A29,A29,495044,107117,495686,107248
AL1722,A27 between A284 and A280 (AL1722),A284,A280,502853,105967,509095,105503
AL1724,A27 between A283 and A2025 (AL1724),A283,A2025,520849,106447,518589,105493
AL1725,A27 between A2025 and A283 (AL1725),A2025,A283,518548,105484,520851,106460
AL1730,A27 between A293 and A270 (AL1730),A293,A270,526019,107497,523137,106494
AL1731,A27 between A270 and A293 (AL1731),A270,A293,523117,106513,526016,107507
AL1732,A27 between A23 and A2038 (AL1732),A23,A2038,529803,109266,528468,108155
AL1734,A27 between A2038 and A23 (AL1734),A2038,A23,528460,108163,529781,109275
AL1736,A27 between A2038 and A293 (AL1736),A2038,A293,528468,108155,526019,107497
AL1737,A27 between A293 and A2038 (AL1737),A293,A2038,526016,107507,528460,108163
AL1745A,A23 between M23 J9A and A23 (AL1745A),M23 J9A,A23,529206,141613,527906,141899
AL1747A,A23 between A23 and M23 J9A (AL1747A),A23,M23 J9A,527911,141932,529181,141676
AL1749,A23 between A273 and A281 (AL1749),A273,A281,529308,112083,527926,113029
AL1750,A23 between A281 and A273 (AL1750),A281,A273,527935,113042,529317,112128
AL1751,A23 between A281 and A2300 (AL1751),A281,A2300,527926,113029,526913,120285
AL1752,A23 between A2300 and A281 (AL1752),A2300,A281,526928,120285,527935,113042
AL1756,A23 between M23 J11 and A272 (AL1756),M23 J11,A272,526143,133154,526614,122407
AL1758,A21 between A265 and A229 (AL1758),A265,A229,573360,127192,573269,127932
AL1759,A21 between A268 and A229 (AL1759),A268,A229,571510,131201,573269,127932
